,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2024-10-23 19:05:18,2024-10-23 18:15:31,34206.0,743.0,409.0,64.0,3932.0,588.0,1288.0,4620.0,2024-10-01 03:45:48,4.12.0,417777.0,9283.0,53.0,195.0,32,True,1,,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2024-10-23 19:30:46,2024-10-23 19:07:34,15073.0,2368.0,316.0,38.0,17740.0,222.0,183.0,1486.0,,,,,,346.0,25,True,2,,,
2,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2024-10-21 11:19:23,2024-10-21 11:19:21,2635.0,27.0,48.0,11.0,324.0,45.0,163.0,164.0,2024-10-17 23:26:40,0.0.183,442.0,14.0,100.0,58.0,20,True,1,,,
3,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2024-10-08 14:02:05,2024-10-08 13:52:50,322.0,6.0,35.0,16.0,64.0,23.0,51.0,311.0,2024-02-22 22:04:49,3.1.1,791816.0,10151.0,55.0,20.0,19,True,2,1.0,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2024-10-21 10:30:49,2024-10-20 02:33:31,319.0,34.0,26.0,8.0,63.0,13.0,7.0,110.0,2024-10-21 10:32:28,0.0.44-pre3,344503.0,16404.0,64.0,14.0,19,True,1,,,
5,LeanDojo,lean-dojo/LeanDojo,tool,Tool for data extraction and interacting with Lean programmatically.,https://github.com/lean-dojo/LeanDojo,https://github.com/lean-dojo/LeanDojo,MIT,2023-06-13 22:04:26,2024-10-13 22:39:07,2024-10-13 22:35:35,589.0,36.0,86.0,13.0,119.0,5.0,58.0,557.0,2024-10-13 22:39:07,2.1.3,,,33.0,17.0,17,True,2,-1.0,,
6,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2024-10-22 18:27:47,2024-10-15 13:17:22,838.0,113.0,9.0,7.0,17.0,11.0,23.0,356.0,2024-08-27 09:52:50,1.6.0,,,3.0,5.0,17,True,2,,,
7,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover-community/batteries,https://github.com/leanprover-community/batteries,Apache-2.0,2022-08-28 15:23:46,2024-10-23 16:48:14,2024-10-22 12:54:51,934.0,95.0,102.0,16.0,944.0,23.0,38.0,244.0,,,,,,61.0,16,True,3,,leanprover-community/batteries,
8,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2024-10-07 03:04:27,2024-10-07 03:02:50,279.0,15.0,54.0,11.0,108.0,17.0,22.0,215.0,,,71.0,71.0,1.0,23.0,16,True,1,1.0,,
9,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2024-10-21 08:02:10,2024-10-20 13:02:13,1057.0,17.0,33.0,9.0,44.0,72.0,153.0,185.0,2024-04-10 13:24:11,4.7.0,,,10.0,20.0,16,True,1,,,
10,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2024-10-23 15:50:59,2024-10-23 15:50:49,1761.0,111.0,28.0,18.0,12.0,18.0,15.0,318.0,,,,,,9.0,15,True,1,,,
11,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2024-10-22 22:55:01,2024-10-22 22:51:54,803.0,56.0,27.0,9.0,109.0,19.0,41.0,200.0,,,,,,20.0,15,True,1,,,
12,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2024-10-23 04:08:00,2024-10-22 11:59:26,10238.0,35.0,122.0,12.0,506.0,22.0,15.0,53.0,,,,,,115.0,15,True,1,-1.0,,
13,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2024-10-16 12:21:34,2024-10-16 12:21:24,529.0,19.0,41.0,12.0,143.0,25.0,54.0,63.0,,,,,,31.0,14,True,3,,,
14,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2024-09-23 18:31:04,2024-09-23 18:31:04,343.0,89.0,18.0,9.0,7.0,6.0,29.0,66.0,,,,,,6.0,13,True,3,,,
15,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2024-10-14 11:24:51,2024-10-14 11:24:33,1085.0,1.0,87.0,11.0,97.0,23.0,13.0,159.0,,,,,,80.0,12,True,2,,,
16,Mathematics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://github.com/leanprover-community/mathematics_in_lean,https://leanprover-community.github.io/mathematics_in_lean/,,2020-04-25 01:10:56,2024-10-21 08:05:29,2024-10-21 08:05:25,79.0,11.0,184.0,14.0,19.0,,,256.0,,,,,,3.0,11,True,2,,,
17,The mechanics of proof,hrmacbeth/math2001,tutorial,Early university level course.,https://github.com/hrmacbeth/math2001,https://hrmacbeth.github.io/math2001/,,2022-01-24 19:33:15,2024-10-18 05:49:15,2024-10-18 05:49:09,266.0,9.0,74.0,3.0,9.0,9.0,7.0,192.0,,,,,,,10,True,3,,,
18,SMT Lean,ufmg-smite/lean-smt,package,Tactics for discharging Lean goals into SMT solvers.,https://github.com/ufmg-smite/lean-smt,https://github.com/ufmg-smite/lean-smt,Apache-2.0,2021-11-23 20:54:14,2024-10-23 06:15:57,2024-10-23 06:15:57,121.0,13.0,20.0,8.0,123.0,7.0,8.0,98.0,,,,,,7.0,10,True,2,1.0,,
19,quote4,leanprover-community/quote4,core,"Intuitive, type-safe expression quotations for Lean 4.",https://github.com/leanprover-community/quote4,https://github.com/leanprover-community/quote4,Apache-2.0,2021-05-08 19:00:07,2024-10-18 22:38:07,2024-10-18 15:35:39,169.0,7.0,11.0,6.0,39.0,13.0,9.0,74.0,,,,,,8.0,10,True,3,,,
20,CvxLean,verified-optimization/CvxLean,package,Convex optimization modeling in Lean 4.,https://github.com/verified-optimization/CvxLean,https://github.com/verified-optimization/CvxLean,Apache-2.0,2022-10-14 10:05:55,2024-05-31 12:43:00,2024-05-20 15:01:43,1237.0,,4.0,3.0,33.0,9.0,,39.0,2024-03-22 16:22:23,2.0,,,1.0,3.0,10,True,2,,,
21,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,https://github.com/yuma-mizuno/lean-math-workshop,https://github.com/yuma-mizuno/lean-math-workshop,Apache-2.0,2023-05-30 10:58:24,2024-07-13 20:09:41,2024-07-13 20:09:40,210.0,,20.0,7.0,28.0,1.0,12.0,68.0,,,,,,5.0,9,True,1,,,['ja']
22,llmstep,wellecks/llmstep,package-meta,llmstep: [L]LM proofstep suggestions in Lean 4.,https://github.com/wellecks/llmstep,https://github.com/wellecks/llmstep,MIT,2023-07-08 23:50:23,2023-11-11 01:30:11,2023-11-11 01:30:11,73.0,,15.0,4.0,18.0,3.0,2.0,117.0,2023-10-31 03:18:38,1.0.0,,,1.0,5.0,8,True,3,,,
23,lean-crypto,joehendrix/lean-crypto,package,Cryptographic routines for the Lean 4 language.,https://github.com/joehendrix/lean-crypto,https://github.com/joehendrix/lean-crypto,Apache-2.0,2021-12-13 15:25:44,2024-09-09 09:43:04,2024-09-09 09:41:06,109.0,1.0,3.0,6.0,14.0,1.0,,42.0,,,,,,3.0,8,True,3,,,
24,Reservoir,leanprover/reservoir,tool,Lakes package registry.,https://github.com/leanprover/reservoir,https://reservoir.lean-lang.org/,Apache-2.0,2023-09-01 03:31:28,2024-10-19 06:48:56,2024-10-19 06:48:51,143.0,15.0,1.0,3.0,31.0,5.0,19.0,16.0,,,,,,,8,True,3,,,
25,"The Matrix Cookbook, using Lean's mathlib",eric-wieser/lean-matrix-cookbook,sample,"The matrix cookbook, proved in the Lean theorem prover.",https://github.com/eric-wieser/lean-matrix-cookbook,https://github.com/eric-wieser/lean-matrix-cookbook,MIT,2021-10-21 16:25:24,2024-10-02 08:15:20,2024-10-02 08:15:20,132.0,7.0,9.0,4.0,14.0,,2.0,84.0,,,,,,2.0,7,True,3,,,
26,Functional Programming in Lean,leanprover/fp-lean,tutorial,Functional Programming in Lean.,https://github.com/leanprover/fp-lean,https://lean-lang.org/functional_programming_in_lean/,,2022-04-07 15:40:31,2024-05-08 17:07:55,2024-02-06 09:43:13,351.0,,20.0,5.0,18.0,48.0,102.0,70.0,2022-11-27 19:58:21,pre-2022-11,73.0,2.0,5.0,2.0,7,True,3,,,
27,Lean 4 Tactics,madvorak/lean4-tactics,cheatsheet,Overview of tactics in Lean 4 for beginners longer version.,https://github.com/madvorak/lean4-tactics,https://github.com/madvorak/lean4-tactics,Unlicense,2023-10-04 08:11:28,2024-09-19 18:25:10,2024-09-19 18:25:09,36.0,3.0,2.0,4.0,1.0,,,54.0,,,,,,2.0,7,True,2,,,
28,SATurn,siddhartha-gadgil/Saturn,package,Experiments with SAT solvers with proofs in Lean 4.,https://github.com/siddhartha-gadgil/Saturn,https://github.com/siddhartha-gadgil/Saturn,MIT,2021-06-03 01:41:57,2024-06-23 11:44:11,2024-06-23 11:44:08,266.0,,1.0,3.0,3.0,,1.0,53.0,,,,,,2.0,6,True,3,,,
29,cs-dm/CheatSheet.lean,kevinsullivan/cs-dm,cheatsheet,CS2012 UVa CS Discrete Math Spring 2018.,https://github.com/kevinsullivan/cs-dm,https://github.com/kevinsullivan/cs-dm/blob/master/CheatSheet.lean,,2018-01-20 02:33:29,2019-10-02 22:26:40,2019-10-02 22:26:27,480.0,,20.0,12.0,1.0,9.0,16.0,15.0,,,,,,3.0,6,False,2,,,['lean3']
30,Lean by Example,lean-ja/lean-ja.github.io,cheatsheet,Lean.,https://github.com/lean-ja/lean-ja.github.io,https://lean-ja.github.io/lean-by-example/,MIT,2023-09-04 11:57:55,2024-06-18 10:42:09,2024-06-18 10:42:08,79.0,,,3.0,11.0,,19.0,,,,,,,3.0,6,True,2,,,['ja']
31,LEAN JA リンク集,lean-ja/lean-ja.github.io,awesome,Japanese translated versions of several tutorials are available. ().,https://github.com/lean-ja/lean-ja.github.io,https://lean-ja.github.io/links/,MIT,2023-09-04 11:57:55,2024-06-18 10:42:09,2024-06-18 10:42:08,79.0,,,3.0,11.0,,19.0,,,,,,,3.0,6,True,1,,,['ja']
32,lean3-tactic-lean4,madvorak/lean3-tactic-lean4,cheatsheet,Reference sheet for people who know Lean 3 and want to write tactic-based proofs in Lean 4.,https://github.com/madvorak/lean3-tactic-lean4,https://github.com/madvorak/lean3-tactic-lean4,Unlicense,2023-02-17 15:17:58,2024-10-13 16:17:56,2024-10-13 16:17:56,47.0,2.0,2.0,1.0,1.0,,,23.0,,,,,,2.0,5,True,3,,,['lean3']
33,Lean 4 Cheatsheet,madvorak/lean4-cheatsheet,cheatsheet,Printable (A4) overview of tactics in Lean 4 for beginners.,https://github.com/madvorak/lean4-cheatsheet,https://github.com/madvorak/lean4-cheatsheet/blob/main/lean-tactics.pdf,Unlicense,2023-03-07 15:37:12,2024-09-19 18:23:04,2024-09-19 18:22:59,12.0,1.0,1.0,1.0,,,,20.0,,,,,,,4,True,3,,,
34,(Mathlib4) General Documentation (API Reference),leanprover-community/mathlib4_docs,cheatsheet,Official Mathlib API Reference.,https://github.com/leanprover-community/mathlib4_docs,https://leanprover-community.github.io/mathlib4_docs/,,2022-01-06 19:13:21,2024-10-06 17:43:49,2024-10-06 17:43:44,21.0,5.0,2.0,19.0,2.0,,1.0,8.0,,,,,,4.0,4,True,3,1.0,,
35,Moogle: Semantic search over mathlib4,,cheatsheet,Better performance (latency) than `General Documentation`.,,https://www.moogle.ai/,,,,,,,,,,,,,,,,,,,1,True,3,,,
36,`#help` command output,,cheatsheet,"Output of `#help option`, `#help attr`, ... shown in `Lean 4 Web`.",,https://live.lean-lang.org/#code=import%20Mathlib.Tactic%0D%0A%0D%0A%23help%20option%0D%0A%23help%20attr%0D%0A%23help%20cats%0D%0A%23help%20term%0D%0A%23help%20tactic%0D%0A%23help%20conv%0D%0A%23help%20command%0D%0A,,,,,,,,,,,,,,,,,,,1,True,3,,,
37,The Lean Reference Manual,,tutorial,Official Lean 3 Reference Manual.,,https://lean-lang.org/reference/index.html,,,,,,,,,,,,,,,,,,,1,True,3,,,['lean3']
38,Lean Manual,,tutorial,Official Manual.,,https://lean-lang.org/lean4/doc/do.html,,,,,,,,,,,,,,,,,,,1,True,3,,,
39,Zulip chat for discussions about Lean and mathlib,,community,Official community.,,https://leanprover.zulipchat.com/,,,,,,,,,,,,,,,,,,,1,True,1,,,
40,Lean 4 Anarchy (Discord),,community,Anarchy discord server.,,https://discord.com/invite/WZ9bs9UCvx,,,,,,,,,,,,,,,,,,,1,True,1,,,
41,Links (lean-lang.org),,awesome,Official collection of links.,,https://lean-lang.org/links/,,,,,,,,,,,,,,,,,,,1,True,3,,,
