,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,new_addition,labels
21,lean3-tactic-lean4,madvorak/lean3-tactic-lean4,others,Reference sheet for people who know Lean 3 and want to write tactic-based proofs in Lean 4.,https://github.com/madvorak/lean3-tactic-lean4,https://github.com/madvorak/lean3-tactic-lean4,Unlicense,2023-02-17 15:17:58,2023-07-05 15:15:12,2023-07-05 15:15:12,41.0,,1.0,1.0,1.0,,,11.0,,,,,,2.0,4,True,1,True,['lean3']
22,(Mathlib4) General Documentation (API Reference),leanprover-community/mathlib4_docs,cheatsheet,Official Mathlib API Reference.,https://github.com/leanprover-community/mathlib4_docs,https://leanprover-community.github.io/mathlib4_docs/,,2022-01-06 19:13:21,2023-09-25 11:14:22,2023-09-25 11:14:22,10.0,1.0,1.0,18.0,1.0,,1.0,5.0,,,,,,2.0,1,True,3,True,
23,Moogle: Semantic search over mathlib4,,cheatsheet,Better performance (latency) than `General Documentation`.,,https://www.moogle.ai/,,,,,,,,,,,,,,,,,,,1,True,3,True,
24,Lean 4 Tactics Reverse Lookup List,,cheatsheet,Lean 4 Tactics Reverse Lookup List.,,https://lean-ja.github.io/tactic-cheatsheet/,,,,,,,,,,,,,,,,,,,1,True,3,True,['ja']
25,The Lean Reference Manual,,others,Official Lean 3 Reference Manual.,,https://lean-lang.org/reference/index.html,,,,,,,,,,,,,,,,,,,1,True,3,True,['lean3']
26,The mechanics of proof,,tutorial,Early university level course.,,https://hrmacbeth.github.io/math2001/,,,,,,,,,,,,,,,,,,,1,True,3,True,
27,Lean Manual,,tutorial,Official Manual.,,https://lean-lang.org/lean4/doc/do.html,,,,,,,,,,,,,,,,,,,1,True,3,True,
28,Zulip chat for discussions about Lean and mathlib,,community,Official community.,,https://leanprover.zulipchat.com/,,,,,,,,,,,,,,,,,,,1,True,1,True,
29,Lean 4 Anarchy (Discord),,community,Anarchy discord server.,,https://discord.com/invite/WZ9bs9UCvx,,,,,,,,,,,,,,,,,,,1,True,1,True,
30,Links (lean-lang.org),,awesome,Official collection of links.,,https://lean-lang.org/links/,,,,,,,,,,,,,,,,,,,1,True,3,True,
31,lean4 - YouTube,,movie,YouTube movies.,,https://www.youtube.com/results?search_query=lean4,,,,,,,,,,,,,,,,,,,1,True,1,True,
32,人気の「Lean」動画 14本 - ニコニコ動画,,movie,Niconico movies. Entertaining instructions using TTS software have been uploaded.,,https://www.nicovideo.jp/tag/Lean,,,,,,,,,,,,,,,,,,,1,True,1,True,['ja']
