,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2023-11-16 18:06:16,2023-11-16 17:54:52,31914.0,324.0,264.0,67.0,1685.0,402.0,800.0,3175.0,2023-10-31 03:20:34,4.2.0,57350.0,1686.0,20.0,152.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2023-11-16 17:34:41,2023-11-16 14:12:31,7410.0,1454.0,150.0,28.0,8205.0,127.0,111.0,432.0,,,,,,183.0,22,True,2,1.0,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2023-10-12 07:41:58,2023-10-12 07:41:58,293.0,6.0,28.0,9.0,51.0,20.0,42.0,218.0,2023-09-08 08:29:17,3.0.0,455799.0,6802.0,50.0,17.0,19,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2023-11-16 08:48:05,2023-11-14 14:04:50,2415.0,37.0,28.0,11.0,193.0,45.0,115.0,96.0,2023-10-31 17:31:10,0.0.118,410.0,12.0,100.0,47.0,18,True,1,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2023-11-14 04:13:43,2023-11-10 21:09:35,180.0,37.0,10.0,7.0,14.0,13.0,6.0,62.0,2023-11-10 21:09:51,0.0.22,57320.0,5732.0,25.0,7.0,17,True,1,,
5,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2023-11-16 04:07:12,2023-11-12 19:46:55,10063.0,73.0,86.0,11.0,364.0,18.0,13.0,40.0,,,,,,88.0,16,True,1,,
6,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2023-11-13 20:53:12,2023-11-08 16:22:38,494.0,130.0,5.0,5.0,10.0,5.0,14.0,214.0,2023-10-19 19:51:51,0.0.5,,,1.0,4.0,15,True,3,,
7,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2023-11-15 22:18:37,2023-11-15 22:18:22,1166.0,281.0,13.0,13.0,5.0,12.0,9.0,165.0,,,,,,5.0,15,True,1,,
8,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2023-11-15 20:27:58,2023-11-14 20:52:23,760.0,115.0,8.0,7.0,13.0,51.0,85.0,40.0,2023-11-09 14:30:53,4.1.0,,,2.0,9.0,15,True,1,,
9,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2023-11-16 17:39:01,2023-09-18 21:00:55,213.0,8.0,38.0,10.0,90.0,14.0,14.0,165.0,,,591.0,295.0,1.0,16.0,14,True,1,,
10,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover/std4,https://github.com/leanprover/std4,Apache-2.0,2022-08-28 15:23:46,2023-11-16 11:17:14,2023-11-15 19:02:42,478.0,118.0,51.0,16.0,333.0,21.0,12.0,139.0,,,,,,32.0,14,True,3,,
11,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2023-11-13 22:19:20,2023-11-13 22:19:19,425.0,47.0,26.0,6.0,93.0,27.0,43.0,39.0,,,,,,20.0,14,True,3,,
12,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2023-11-15 23:11:28,2023-11-13 17:22:28,544.0,53.0,16.0,8.0,41.0,10.0,34.0,98.0,,,,,,14.0,13,True,2,,
13,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2023-11-16 07:43:49,2023-09-06 09:11:07,1063.0,2.0,57.0,10.0,67.0,8.0,9.0,114.0,,,,,,64.0,11,True,2,,
14,llmstep,wellecks/llmstep,package-meta,llmstep: [L]LM proofstep suggestions in Lean 4.,https://github.com/wellecks/llmstep,https://github.com/wellecks/llmstep,MIT,2023-07-08 23:50:23,2023-11-11 01:30:11,2023-11-11 01:30:11,73.0,60.0,7.0,3.0,18.0,1.0,2.0,59.0,2023-10-31 03:18:38,1.0.0,,,1.0,5.0,11,True,3,,
15,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2023-11-14 22:04:39,2023-11-14 22:04:36,161.0,48.0,7.0,9.0,2.0,4.0,2.0,32.0,,,,,,5.0,11,True,3,,
16,quote4,leanprover-community/quote4,core,"Intuitive, type-safe expression quotations for Lean 4.",https://github.com/leanprover-community/quote4,https://github.com/leanprover-community/quote4,Apache-2.0,2021-05-08 19:00:07,2023-11-15 12:03:36,2023-11-15 01:37:15,149.0,9.0,8.0,6.0,14.0,6.0,7.0,53.0,,,,,,6.0,10,True,3,1.0,
17,SMT Lean,ufmg-smite/lean-smt,package,Tactics for discharging Lean goals into SMT solvers.,https://github.com/ufmg-smite/lean-smt,https://github.com/ufmg-smite/lean-smt,Apache-2.0,2021-11-23 20:54:14,2023-11-08 21:46:05,2023-11-08 21:46:05,69.0,8.0,14.0,6.0,62.0,4.0,4.0,55.0,,,,,,4.0,9,True,3,,
18,Functional Programming in Lean,leanprover/fp-lean,tutorial,Functional Programming in Lean.,https://github.com/leanprover/fp-lean,https://lean-lang.org/functional_programming_in_lean/,,2022-04-07 15:40:31,2023-10-17 04:24:20,2023-10-03 08:40:09,340.0,13.0,7.0,6.0,11.0,27.0,97.0,50.0,2022-11-27 19:58:21,pre-2022-11,26.0,1.0,5.0,2.0,9,True,2,,
19,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,https://github.com/yuma-mizuno/lean-math-workshop,https://github.com/yuma-mizuno/lean-math-workshop,Apache-2.0,2023-05-30 10:58:24,2023-09-11 15:17:15,2023-09-11 15:16:59,125.0,60.0,15.0,6.0,12.0,,2.0,46.0,,,,,,2.0,9,True,1,,['ja']
20,"The Matrix Cookbook, using Lean's mathlib",eric-wieser/lean-matrix-cookbook,sample,"The matrix cookbook, proved in the Lean theorem prover.",https://github.com/eric-wieser/lean-matrix-cookbook,https://github.com/eric-wieser/lean-matrix-cookbook,MIT,2021-10-21 16:25:24,2023-10-22 22:33:02,2023-10-22 22:32:42,99.0,27.0,6.0,3.0,11.0,,,29.0,,,,,,2.0,9,True,1,,
21,Mathmatics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://github.com/leanprover-community/mathematics_in_lean,https://leanprover-community.github.io/mathematics_in_lean/,,2020-04-25 01:10:56,2023-11-08 20:52:23,2023-10-22 18:59:48,52.0,11.0,66.0,12.0,12.0,,,106.0,,,,,,2.0,8,True,3,,
22,The mechanics of proof,hrmacbeth/math2001,tutorial,Early university level course.,https://github.com/hrmacbeth/math2001,https://hrmacbeth.github.io/math2001/,,2022-01-24 19:33:15,2023-11-11 23:37:37,2023-11-11 23:37:35,217.0,20.0,16.0,2.0,3.0,,2.0,43.0,,,,,,,7,True,3,,
